Etat,DeltaMoy,maxDepth,fov,DeltaMax,consistency
Victoire,-42.493866,139.88155,1377,-0.0767746,0.025417574437182282
Victoire,60.237083,143.23163,4113,-4.811569,0.023097495745198152
Victoire,-2.316101,81.77773,801,7.5905533,0.02372034956304619
Victoire,3.741623,85.42448,963,0.13950348,0.016614745586708203
Victoire,7.972084,78.992256,720,21.35865,0.02361111111111111
Victoire,-0.16822815,91.07208,3222,-10.0,0.0012414649286157666
Victoire,7.737442,86.4582,657,23.694267,0.0228310502283105
Victoire,36.42682,122.96974,1638,-1.4491119,0.015262515262515262
Victoire,-45.050232,136.67065,1359,4.7105103,0.027225901398086828
Victoire,37.28177,141.58202,1845,-1.9722443,0.023848238482384824
