Etat,MaxDepth,Fov,DeltaMoy,DeltaMax
Victoire,141.13509,1404,41.92461,0.00781
Defaite,61.569263,936,0.1013,-8.34932
Victoire,152.32121,1719,45.540895,-0.067395
Defaite,72.12336,846,4.29679,0.35932
Victoire,61.83585,963,5.12747,0.68944
Defaite,133.88747,1890,29.62439,-7.4506
Victoire,140.99664,1499,35.6577,-17.89563
Defaite,131.54575,1710,35.68029,-10.60894
Victoire,156.57468,1665,33.32399,-13.11206
Defaite,56.20071,801,2.09163,-0.87052
Victoire,139.23299,1656,32.87924,-13.15126
Defaite,75.319824,981,-0.54251,-9.14361
Victoire,146.22702,1448,41.28949,-3.15632
Defaite,138.68845,1980,32.47177,-1.33488
Victoire,146.72733,1818,30.61745,-15.69638
Defaite,134.04799,2313,37.376194,-7.643212
Victoire,161.92262,1557,40.126656,-6.354784
Defaite,76.84784,918,4.849516,0.41906
Victoire,158.53094,1985,32.22145,-5.53031
Defaite,93.28508,981,-0.83758,-7.355805
Victoire,157.25984,1300,52.139724,-5.772766
Defaite,77.80745,918,4.768714,0.973984
Victoire,80.62724,612,-1.26924,-10.342085
Defaite,75.61903,819,-0.95677,-4.4431
Victoire,143.87288,1656,32.40712,-11.73594
Defaite,137.23486,1890,30.37521,-7.42845
Victoire,150.5274,1323,46.39932,-11.33883
Defaite,63.06377,963,4.691296,0.9047
Victoire,137.32965,2259,29.5181,0.03193
Defaite,73.26401,981,0.11578,-7.33234
Victoire,72.82339,433,-1.04655,-14.15504
Defaite,81.20573,846,-1.253365,-6.13797
Victoire,72.89178,810,0.95414,-7.9604
Defaite,61.01332,783,4.221321,0.018846
Victoire,142.91882,1539,37.26684,-3.146335
Defaite,140.14188,1953,28.29656,-17.09886
Victoire,90.53353,432,-1.575245,-5.61282
Defaite,108.33746,891,0.533914,-1.03151
Victoire,132.68237,1233,45.944256,-17.237464
Defaite,140.01733,1027,14.92361,0
Victoire,135.0873,1386,44.465214,-5.336346
Defaite,107.73649,1233,8.60558,0.306895
Victoire,67.36811,558,9.14912,-1.89954
Defaite,96.29023,594,2.57248,0.44595
Victoire,107.75985,1359,20.53654,0.381856
Defaite,71.67362,918,1.92129,-8.55106
Victoire,133.31393,1989,46.65205,-8.40811
Defaite,135.44998,2295,22.89957,-18.9021
Victoire,151.75131,1503,43.317706,-8.808609
Defaite,59.649837,729,4.96418,0.63031
Victoire,80.138374,920,1.63449,0.070386
Defaite,76.99154,891,0.24646,-5.81972
Victoire,78.2779,828,-5.07954,-12.668836
Defaite,81.614655,846,-0.16551,-7.149345
Victoire,106.282585,657,0.93735,-4.42448
Defaite,91.51388,936,-1.133206,-8.506216
Victoire,158.64253,1611,49.24084,0.42118
Defaite,163.55508,1683,41.31609,0.48656
Victoire,161.5616,1431,47.77574,-4.10224
Defaite,87.25942,909,-4.73713,-27.35687
