Etat,avgAltitude,maxDepth,fov,maxAlt,currenty
Victoire,-124.497,116.36571,288,-120.13561,-26.929531
Victoire,-127.417145,96.83937,720,-113.1461,-131.61514
Victoire,-142.39656,130.78001,4383,-129.58246,-129.58246
Victoire,-157.4701,147.2033,1917,-114.7757,-127.0894
Victoire,-130.80338,139.86676,927,-116.60188,-115.08443
Victoire,-130.8778,118.15573,1305,-111.27893,-119.92
Victoire,-168.72617,145.70766,1521,-124.09652,-128.9517
Victoire,-127.27984,110.193306,990,-123.72918,-123.5898
Victoire,-166.08995,160.5486,1503,-115.016945,-120.07004
Victoire,-152.02193,144.70775,4428,-110.20296,-118.37902
Victoire,-128.65688,77.59742,801,-116.129745,-126.66169
Victoire,-153.09369,142.37079,1836,-115.35178,-118.70298
Victoire,-169.4278,135.81157,1584,-126.98232,-126.78818
Victoire,-143.56456,130.26874,4338,-130.61063,-130.61052
Victoire,-166.03467,131.04,1476,-117.86977,-130.31825
Defaite,-123.67154,95.751945,846,-120.06109,-119.35196
Defaite,-159.68793,123.96963,1710,-118.35743,-129.85469
Defaite,-154.97803,102.73428,2295,-124.82888,-129.50002
Defaite,-124.77124,95.1477,801,-120.14327,-120.01461
Defaite,-159.02159,130.5556,1845,-108.52865,-128.85425
Defaite,-163.97383,131.25742,1656,-129.44568,-129.38799
Defaite,-125.53693,80.01714,729,-119.60194,-127.31849
Defaite,-157.12083,154.32536,1710,-116.8588,-120.94671
Defaite,-124.74074,69.03096,873,-120.9434,-120.612114
Defaite,-135.47679,108.64018,3654,-129.03629,-128.71346
Defaite,-156.34592,137.94879,1890,-111.78384,-118.1006
Defaite,-126.95625,61.46333,774,-125.304184,-124.88337
Defaite,-154.6141,145.76677,1890,-113.618286,-128.72424
Defaite,-165.62878,128.19777,1566,-129.20892,-129.27066
Defaite,-177.65172,170.5732,2754,-125.49373,-125.17759
Victoire,-139.50726,136.09752,1485,-119.174995,-119.55188
Defaite,-161.0498,134.76257,1809,-120.84696,-128.66336
Victoire,-155.9191,138.25613,1818,-120.672035,-120.41872
Defaite,-126.26541,105.44372,963,-118.350426,-123.44605
Victoire,-170.61371,133.34187,1476,-123.105225,-130.43912
Defaite,-163.21472,124.00598,1665,-122.39469,-131.54187
Victoire,-166.66113,144.29567,1467,-120.44174,-120.29286
Defaite,-159.10071,136.42845,1872,-114.59485,-128.24548
